Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A804135,"729 AIRPORT BLVD
AUSTIN 78702
(30.252635, -97.692346)",Yes (come to the shelter),9/11/19,Dog,Labrador Retriever Mix,Yellow/White,Intact Female,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804135
A804616,"6800 AUCKLAND DRIVE
AUSTIN 78749
(30.212431, -97.886379)",Yes (come to the shelter),9/16/19,Cat,Domestic Shorthair,Gray Tabby/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A804616
A804140,"HOLLY
T MARTINEZ AUSTIN 78702",Yes (come to the shelter),9/11/19,Dog,Staffordshire Mix,Blue/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A804140
A790435,"24TH STREET
AUSTIN 78713",Yes (come to the shelter),9/11/19,Dog,Labrador Retriever Mix,Black/White,Neutered Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A790435
A804253,"6010 NORTH LAMAR BOULEVARD
AUSTIN 78752
(30.32903, -97.724395)",Yes (come to the shelter),9/12/19,Dog,Chihuahua Shorthair,Tan/White,Intact Female,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804253
A804252,"8010 N IH
SB AUSTIN 78753",Yes (come to the shelter),9/12/19,Dog,Pit Bull/Labrador Retriever,Black/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A804252
A804680,"10640 MARSHITAHS WAY
AUSTIN 78748
(30.160173, -97.826054)",Yes (come to the shelter),9/17/19,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804680
A804685,"4704 SALOMA DRIVE
AUSTIN 78749
(30.210165, -97.852888)",Yes (come to the shelter),9/17/19,Dog,Chow Chow,Red,Unknown,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804685
A804681,"10640 MARSHITAHS WAY
AUSTIN 78748
(30.160173, -97.826054)",Yes (come to the shelter),9/17/19,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804681
A804448,"12343 HUNTERS
CHASE AUSTIN 78729",Yes (come to the shelter),9/14/19,Dog,Dachshund/Chihuahua Shorthair,Black/Tricolor,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804448
