Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A804594,"EAST HOWARDS LANE MANOR 78653
(30.345865, -97.531473)",Yes (come to the shelter),9/16/19,Dog,Norfolk Terrier,White/Tan,Intact Female,9 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804594
A804564,"12246 ABBEY GLEN
AUSTIN 78753
(30.389108, -97.658159)",Yes (come to the shelter),9/15/19,Cat,Domestic Shorthair Mix,White/Brown Tabby,Unknown,1 week,http://www.petharbor.com/pet.asp?uaid=ASTN.A804564
A804313,"3605 NORWOOD LANE78617
(30.198061, -97.579978)",No (contact for more info),9/13/19,Dog,German Shepherd,Black/Brown,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A804313
A804316,"RAWHIDE TRAIL
AUSTIN 78736",Yes (come to the shelter),9/13/19,Cat,Domestic Shorthair,Brown Tabby/White,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804316
A804595,"627 RALPH ABLANEDO DRIVE
AUSTIN 78748
(30.17415, -97.797072)",No (contact for more info),9/16/19,Dog,Miniature Schnauzer,Black/Silver,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804595
A804271,"GRACY FARMS LANE
AUSTIN 78758",Yes (come to the shelter),9/12/19,Dog,Labrador Retriever,Black/White,Intact Female,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804271
A804597,"BOSTON LANE
AUSTIN 78735",No (contact for more info),9/16/19,Dog,Labrador Retriever,Black/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804597
A804666,PARSON STREET78653,Yes (come to the shelter),9/17/19,Dog,Plott Hound,Brown Brindle,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804666
A804662,"300 E LOLA DR
AUSTIN 78753
(30.346033, -97.701859)",Yes (come to the shelter),9/17/19,Dog,Labrador Retriever,White/Yellow,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A804662
A804561,"12246 ABBEY GLEN
AUSTIN 78753
(30.389108, -97.658159)",Yes (come to the shelter),9/15/19,Cat,Domestic Shorthair Mix,White/Black,Unknown,1 week,http://www.petharbor.com/pet.asp?uaid=ASTN.A804561
A804153,"WICKERSHAM
AUSTIN 78741",Yes (come to the shelter),9/11/19,Dog,Labrador Retriever Mix,Black/White,Intact Male,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804153
A804562,"12246 ABBEY GLEN
AUSTIN 78753
(30.389108, -97.658159)",Yes (come to the shelter),9/15/19,Cat,Domestic Shorthair Mix,White/Black,Unknown,1 week,http://www.petharbor.com/pet.asp?uaid=ASTN.A804562
A804599,"7601 DAFFAN LANE
AUSTIN 78724
(30.316965, -97.623758)",No (contact for more info),9/16/19,Cat,Domestic Shorthair,White/Brown Tabby,Unknown,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804599
A804508,"1000 EAST 41ST STREET
AUSTIN 78751
(30.298553, -97.720058)",No (contact for more info),9/15/19,Dog,Labrador Retriever,Brown/White,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804508
A804433,"AUSTIN 78749
(30.213975, -97.859448)",Yes (come to the shelter),9/14/19,Cat,Domestic Medium Hair,Orange Tabby,Intact Female,8 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804433
A804663,"300 E LOLA DR
AUSTIN 78753
(30.346033, -97.701859)",Yes (come to the shelter),9/17/19,Dog,German Shepherd Mix,Black,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A804663
A804664,"10916 RIVER PLANTATION DRIVE
AUSTIN 78744
(30.13624, -97.780275)",No (contact for more info),9/17/19,Dog,German Shepherd,Brown/Black,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804664
A804670,"9506 DALLUM DRIVE
AUSTIN 78753
(30.357907, -97.683431)",Yes (come to the shelter),9/17/19,Cat,Domestic Shorthair,Black/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A804670
A804502,"THOMPSON LANE
AUSTIN 78741",Yes (come to the shelter),9/15/19,Dog,Pit Bull,Blue,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A804502
A804513,"13102 NEW BOSTON BEND
AUSTIN 78729
(30.443747, -97.745708)",Yes (come to the shelter),9/15/19,Dog,Staffordshire Mix,Black/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A804513
A804665,PARSON STREET78653,Yes (come to the shelter),9/17/19,Dog,Plott Hound,Brown Brindle,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804665
A804667,ELM GROVE ROAD78610,Yes (come to the shelter),9/17/19,Dog,Australian Cattle Dog,Brown/Tricolor,Intact Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804667
A804377,"7509 NORTH INTERSTATE HIGHWAY
AUSTIN 78752",Yes (come to the shelter),9/13/19,Dog,Siberian Husky,Black/White,Neutered Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804377
A804668,ELM GROVE ROAD78610,Yes (come to the shelter),9/17/19,Dog,Australian Cattle Dog,Red/Tricolor,Intact Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804668
A804427,"11508 BRUCE JENNER LANE
AUSTIN 78748
(30.154213, -97.845515)",Yes (come to the shelter),9/14/19,Cat,Domestic Shorthair,Orange Tabby/White,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804427
A804428,"11508 BRUCE JENNER LANE
AUSTIN 78748
(30.154213, -97.845515)",Yes (come to the shelter),9/14/19,Cat,Domestic Shorthair,Orange Tabby/White,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804428
A804429,"11508 BRUCE JENNER LANE
AUSTIN 78748
(30.154213, -97.845515)",Yes (come to the shelter),9/14/19,Cat,Domestic Shorthair,Brown Tabby/White,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804429
A804510,"SOUTH EAST PLEASANT VALLEY ROAD
AUSTIN 78701",Yes (come to the shelter),9/15/19,Cat,Domestic Shorthair,Black,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804510
A804378,"3519 RIVER RD78612
(30.199766, -97.509951)",Yes (come to the shelter),9/13/19,Dog,Australian Cattle Dog,White/Brown,Intact Male,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804378
A804430,"11508 BRUCE JENNER LANE
AUSTIN 78748
(30.154213, -97.845515)",Yes (come to the shelter),9/14/19,Cat,Domestic Shorthair,Tortie,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804430
A804432,"MILLRACE DRIVE
AUSTIN 78724",Yes (come to the shelter),9/14/19,Dog,Chihuahua Shorthair,Red/White,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804432
A804319,"BRANDT ROAD
ELM AUSTIN 78744",Yes (come to the shelter),9/13/19,Dog,Irish Terrier,Tan/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A804319
A804511,"SOUTH EAST PLEASANT VALLEY ROAD
AUSTIN 78701",Yes (come to the shelter),9/15/19,Cat,Domestic Shorthair,Black,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804511
A804581,"8718 FM
AUSTIN 78719",Yes (come to the shelter),9/16/19,Cat,Domestic Medium Hair,Blue Tabby,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804581
A804512,"SOUTH EAST PLEASANT VALLEY ROAD
AUSTIN 78701",Yes (come to the shelter),9/15/19,Cat,Domestic Shorthair,Blue/White,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804512
A804582,"WEST WILLIAM CANNON DRIVE
AUSTIN 78745",Yes (come to the shelter),9/16/19,Cat,Domestic Shorthair,Black/White,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804582
A804583,"8718 FM
AUSTIN 78719",Yes (come to the shelter),9/16/19,Cat,Domestic Medium Hair,Black,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804583
A804630,"1912 EAST WILLIAM CANNON DRIVE
AUSTIN 78744
(30.188318, -97.76465)",Yes (come to the shelter),9/16/19,Dog,Tibetan Terrier,Brown/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804630
A804635,"10501 LA COSTA DRIVE
AUSTIN 78747
(30.143098, -97.787056)",Yes (come to the shelter),9/16/19,Cat,Domestic Shorthair,Brown Tabby,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804635
A804161,"1615 CROZIER LANE78617
(30.220407, -97.661327)",Yes (come to the shelter),9/11/19,Dog,Pit Bull,Red/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A804161
A804631,"1006 PEGOTTY PL
AUSTIN 78753
(30.387233, -97.662881)",Yes (come to the shelter),9/16/19,Dog,Chihuahua Shorthair,Black/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804631
A804569,1425 WELLS GRANCH PARKWAY78758,Yes (come to the shelter),9/15/19,Cat,Domestic Shorthair,Black,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804569
A804636,"10501 LA COSTA DRIVE
AUSTIN 78747
(30.143098, -97.787056)",Yes (come to the shelter),9/16/19,Cat,Domestic Shorthair,Brown Tabby,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804636
A804568,"4715 GREEN RIDGE
AUSTIN 78745",Yes (come to the shelter),9/15/19,Dog,Bichon Frise Mix,White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804568
A804608,13901 STRIPLING LANE78660,Yes (come to the shelter),9/16/19,Dog,Pit Bull,Blue/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804608
A804570,"SLAUGHTER LANE
AUSTIN 78749",Yes (come to the shelter),9/15/19,Dog,German Shepherd Mix,Black/Brown,Intact Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804570
A804571,"SLAUGHTER LANE
AUSTIN 78749",Yes (come to the shelter),9/15/19,Dog,German Shepherd Mix,Black/Brown,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804571
A804572,"SHADY SPRINGS ROAD
AUSTIN 78758",No (contact for more info),9/15/19,Dog,Toy Poodle Mix,Black,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A804572
A804231,"5809 SHAW78654
(30.509626, -98.102158)",Yes (come to the shelter),9/12/19,Dog,Miniature Pinscher,Black/Brown,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804231
A804603,"1201 WEST BEN WHITE BOULEVARD
AUSTIN 78704
(30.227334, -97.777477)",Yes (come to the shelter),9/16/19,Dog,Chihuahua Shorthair,Brown/White,Spayed Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804603
A804279,"10511 HIBBS LANE78653
(30.304224, -97.472063)",Yes (come to the shelter),9/12/19,Cat,Domestic Shorthair,Calico,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804279
A804672,"715 WEST SLAUGHTER LANE
AUSTIN 78748
(30.173913, -97.802457)",Yes (come to the shelter),9/17/19,Dog,Cairn Terrier,Tricolor,Spayed Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A804672
A804332,"32ND
AUSTIN 78722",Yes (come to the shelter),9/13/19,Dog,Labrador Retriever Mix,Tan/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804332
A804632,"1912 EAST WILLIAM CANNON DRIVE
AUSTIN 78744
(30.188318, -97.76465)",Yes (come to the shelter),9/16/19,Dog,Labrador Retriever/Great Pyrenees,White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804632
A804674,"1523 SOUTHPORT DRIVE
AUSTIN 78704
(30.230626, -97.779853)",Yes (come to the shelter),9/17/19,Dog,Border Terrier,Black/White,Intact Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804674
A804580,"7309 LAZY CREEK DR
AUSTIN 78724
(30.314358, -97.657488)",Yes (come to the shelter),9/16/19,Dog,German Shepherd,Brown,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A804580
A804516,"1901 WEST WILLIAM CANNON DRIVE
AUSTIN 78745
(30.202651, -97.805566)",Yes (come to the shelter),9/15/19,Dog,Pug,Black/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804516
A804637,"10501 LA COSTA DRIVE
AUSTIN 78747
(30.143098, -97.787056)",Yes (come to the shelter),9/16/19,Cat,Domestic Shorthair,Black/White,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804637
A804588,"8411 FOREST HEIGHTS LANE
AUSTIN 78749
(30.21186, -97.867218)",Yes (come to the shelter),9/16/19,Cat,Domestic Shorthair,Blue,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804588
A804634,"11503 WALNUT RIDGE
AUSTIN 78753
(30.376928, -97.667733)",Yes (come to the shelter),9/16/19,Cat,Domestic Shorthair,Orange Tabby/White,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804634
A804676,"BERGER ST AUSTIN 78721
(30.270568, -97.683892)",Yes (come to the shelter),9/17/19,Dog,American Pit Bull Terrier,Gray,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804676
A804677,"AUSTIN 78749
(30.213975, -97.859448)",Yes (come to the shelter),9/17/19,Dog,Catahoula/Pit Bull,White/Blue Merle,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804677
A804675,"1523 SOUTHPORT DRIVE
AUSTIN 78704
(30.230626, -97.779853)",Yes (come to the shelter),9/17/19,Dog,Border Terrier,Brown/Tricolor,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804675
A804320,"11625 LOWESWATER LANE
AUSTIN 78754
(30.355142, -97.614471)",No (contact for more info),9/13/19,Dog,Pit Bull Mix,Gray/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804320
A804331,"7609 LONGVIEW ROAD
AUSTIN 78745
(30.203288, -97.827222)",No (contact for more info),9/13/19,Dog,Chihuahua Shorthair Mix,White/Tan,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A804331
A804584,"8718 FM
AUSTIN 78719",Yes (come to the shelter),9/16/19,Cat,Domestic Medium Hair,Black,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804584
A804585,"8718 FM
AUSTIN 78719",Yes (come to the shelter),9/16/19,Cat,Domestic Medium Hair,Brown Tabby,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804585
A804517,"12016 BUZZ SCHEIDER LANE
AUSTIN 78748
(30.146777, -97.838457)",Yes (come to the shelter),9/15/19,Dog,Alaskan Malamute,Black/Gray,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804517
A804283,"10511 HIBBS LANE78653
(30.304224, -97.472063)",Yes (come to the shelter),9/12/19,Cat,Domestic Shorthair,Brown Tabby/White,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A804283
A804525,"12219 RUNNING BIRD LN
AUSTIN 78758
(30.406526, -97.694782)",Yes (come to the shelter),9/15/19,Dog,Labrador Retriever,Black,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804525
A804530,"11508 BRUCE JENNER LANE
AUSTIN 78748
(30.154213, -97.845515)",Yes (come to the shelter),9/15/19,Cat,Domestic Shorthair,Tortie,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804530
A804534,"5600 GERARD
AUSTIN 78744",Yes (come to the shelter),9/15/19,Dog,Staffordshire Mix,Brown/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804534
A804531,"208 CRAIGMONT
AUSTIN 78745
(30.198933, -97.77881)",Yes (come to the shelter),9/15/19,Cat,Domestic Shorthair,Cream Tabby,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804531
A804532,"208 CRAIGMONT
AUSTIN 78745
(30.198933, -97.77881)",Yes (come to the shelter),9/15/19,Cat,Domestic Shorthair,Blue,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804532
A804533,"208 CRAIGMONT
AUSTIN 78745
(30.198933, -97.77881)",Yes (come to the shelter),9/15/19,Cat,Domestic Shorthair,Calico,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804533
A804589,"6500 TRACOR LANE
AUSTIN 78725
(30.277175, -97.661691)",Yes (come to the shelter),9/16/19,Dog,Norfolk Terrier,Tan,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804589
A804590,"8102 LINDEN ROAD78617
(30.138837, -97.583917)",Yes (come to the shelter),9/16/19,Cat,Domestic Shorthair,Orange Tabby/White,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804590
A804646,"DUQUESNE DRIVE AUSTIN 78723
(30.30723, -97.686715)",Yes (come to the shelter),9/16/19,Dog,Pit Bull,Blue/White,Intact Female,7 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804646
A804234,"504 LAVACA ST
AUSTIN 78701
(30.268091, -97.745444)",Yes (come to the shelter),9/12/19,Cat,Domestic Shorthair,Blue Tabby/White,Intact Male,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804234
A802782,"1722 WOODWARD
AUSTIN 78741
(30.220589, -97.744757)",Yes (come to the shelter),9/11/19,Cat,Domestic Shorthair,Orange,Neutered Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A802782
A804321,"12012 CROW LANE
AUSTIN 78745",Yes (come to the shelter),9/13/19,Cat,Domestic Shorthair,Torbie,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804321
A804168,"AUSTIN 78702
(30.264271, -97.71608)",Yes (come to the shelter),9/11/19,Dog,Labrador Retriever/Border Collie,Red/Cream,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804168
A804647,19305 NATHAN SCOTT WAY MANOR78653,Yes (come to the shelter),9/16/19,Dog,German Shepherd,Brown/Black,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804647
A804611,"13204 DEARBONNE DRIVE78617
(30.17531, -97.613656)",Yes (come to the shelter),9/16/19,Cat,Domestic Medium Hair,White/Black,Unknown,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804611
A804648,19305 NATHAN SCOTT WAY MANOR78653,Yes (come to the shelter),9/16/19,Dog,German Shepherd,Brown/Black,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804648
A804609,"SOUTH WEST CONGRESS AVENUE
AUSTIN 78704",Yes (come to the shelter),9/16/19,Dog,Maltese/Miniature Poodle,White/Black,Intact Female,9 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804609
A804653,"12600 VIDA
NUEVA 78617",Yes (come to the shelter),9/16/19,Dog,Chihuahua Longhair/Dachshund,Black/Tan,Intact Female,7 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804653
A804649,"18121 BUSBY DRIVE MANOR78653
(30.309878, -97.534859)",Yes (come to the shelter),9/16/19,Dog,German Shepherd,Black/Brown,Intact Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804649
A804409,"1178 RIDGEWAY DRIVE
AUSTIN 78702
(30.274245, -97.70413)",Yes (come to the shelter),9/14/19,Cat,Domestic Shorthair,Orange Tabby,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804409
A804410,"1178 RIDGEWAY DRIVE
AUSTIN 78702
(30.274245, -97.70413)",Yes (come to the shelter),9/14/19,Cat,Domestic Shorthair,Tortie,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804410
A804612,"13204 DEARBONNE DRIVE78617
(30.17531, -97.613656)",Yes (come to the shelter),9/16/19,Cat,Domestic Medium Hair,Torbie/White,Intact Female,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804612
A804535,"WILLIAM CANNON
AUSTIN 78745",No (contact for more info),9/15/19,Dog,German Shepherd,Black/Tan,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A804535
A804610,2920 FM78617,Yes (come to the shelter),9/16/19,Dog,Labrador Retriever Mix,Black/White,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804610
A804537,"1156 W CESAR CHAVEZ ST
AUSTIN 78703
(30.268929, -97.760472)",Yes (come to the shelter),9/15/19,Dog,Jack Russell Terrier Mix,White/Gray,Spayed Female,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804537
A804274,"10315 STUBBLE QUAIL DRIVE
AUSTIN 78758
(30.379889, -97.705741)",Yes (come to the shelter),9/12/19,Cat,Domestic Shorthair,Gray Tabby/White,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804274
A804592,"8102 LINDEN ROAD78617
(30.138837, -97.583917)",Yes (come to the shelter),9/16/19,Cat,Domestic Shorthair,Black/White,Intact Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804592
A804275,"10315 STUBBLE QUAIL DRIVE
AUSTIN 78758
(30.379889, -97.705741)",Yes (come to the shelter),9/12/19,Cat,Domestic Shorthair,Gray Tabby/White,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804275
A804652,"9418 HUNTERS TRACE
AUSTIN 78758
(30.369989, -97.708915)",Yes (come to the shelter),9/16/19,Dog,Siberian Husky,White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804652
A804127,"921 FIELDWOOD DR
AUSTIN 78758
(30.370488, -97.697201)",Yes (come to the shelter),9/11/19,Dog,Dachshund,Brown Brindle,Intact Male,8 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804127
A804400,"KILLINGS WORTH LN 78660
(30.449905, -97.613157)",Yes (come to the shelter),9/14/19,Dog,Boxer Mix,White/Black,Intact Female,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804400
A804178,"1124 DARJEELING DRIVE78660
(30.42087, -97.640255)",Yes (come to the shelter),9/11/19,Dog,Pit Bull,White/Brown Brindle,Intact Female,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804178
A804688,"9024 CAPITAL DRIVE
AUSTIN 78753
(30.356697, -97.69114)",Yes (come to the shelter),9/17/19,Dog,German Shepherd Mix,Black,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804688
A804326,"15114 SABAL PALM ROAD
AUSTIN 78724
(30.256489, -97.578086)",No (contact for more info),9/13/19,Dog,Labrador Retriever,Black,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A804326
A804687,"4704 SALOMA DRIVE
AUSTIN 78749
(30.210165, -97.852888)",Yes (come to the shelter),9/17/19,Dog,Chow Chow,Red,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804687
A804333,"9219 ANDERSON MILL ROAD
AUSTIN 78729
(30.451312, -97.782396)",Yes (come to the shelter),9/13/19,Cat,Domestic Shorthair,Brown Tabby,Spayed Female,9 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804333
A804399,"KILLINGS WORTH LANE 78660
(30.449905, -97.613157)",Yes (come to the shelter),9/14/19,Dog,Boxer Mix,White/Black,Intact Male,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804399
A804436,"5011 WEST SLAUGHTER LANE
AUSTIN 78749
(30.200075, -97.864634)",Yes (come to the shelter),9/14/19,Cat,Domestic Shorthair,Black/White,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804436
A804411,"1178 RIDGEWAY DRIVE
AUSTIN 78702
(30.274245, -97.70413)",Yes (come to the shelter),9/14/19,Cat,Domestic Shorthair,Brown Tabby,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804411
A804289,"17720 REGIS DRIVE
AUSTIN 78660
(30.470335, -97.634016)",Yes (come to the shelter),9/12/19,Dog,Labrador Retriever/Pit Bull,Brown/Black,Intact Male,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804289
A804290,"1747 EAST OLTORF STREET
AUSTIN 78741
(30.232414, -97.737208)",Yes (come to the shelter),9/12/19,Dog,Pit Bull,Black,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804290
A804281,"10511 HIBBS LANE78653
(30.304224, -97.472063)",Yes (come to the shelter),9/12/19,Cat,Domestic Shorthair,Brown Tabby,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804281
