,lon,lat,addresses,LooksLike
92,30.230626,-97.779853,1523 SOUTHPORT DRIVE,Border Terrier
93,30.314358,-97.657488,7309 LAZY CREEK DR,German Shepherd
94,30.202651,-97.805566,1901 WEST WILLIAM CANNON DRIVE,Pug
95,30.143098,-97.787056,10501 LA COSTA DRIVE,Domestic Shorthair
96,30.21186,-97.867218,8411 FOREST HEIGHTS LANE,Domestic Shorthair
97,30.376928,-97.667733,11503 WALNUT RIDGE,Domestic Shorthair
98,30.270568,-97.683892,BERGER ST AUSTIN 78721,American Pit Bull Terrier
99,30.213975,-97.859448,AUSTIN 78749,Catahoula/Pit Bull
100,30.230626,-97.779853,1523 SOUTHPORT DRIVE,Border Terrier
101,30.355142,-97.614471,11625 LOWESWATER LANE,Pit Bull Mix
102,30.203288,-97.827222,7609 LONGVIEW ROAD,Chihuahua Shorthair Mix
103,,,8718 FM,Domestic Medium Hair
104,,,8718 FM,Domestic Medium Hair
105,30.146777,-97.838457,12016 BUZZ SCHEIDER LANE,Alaskan Malamute
106,30.304224,-97.472063,10511 HIBBS LANE78653,Domestic Shorthair
107,30.406526,-97.694782,12219 RUNNING BIRD LN,Labrador Retriever
108,30.154213,-97.845515,11508 BRUCE JENNER LANE,Domestic Shorthair
109,,,5600 GERARD,Staffordshire Mix
110,30.198933,-97.77881,208 CRAIGMONT,Domestic Shorthair
111,30.198933,-97.77881,208 CRAIGMONT,Domestic Shorthair
112,30.198933,-97.77881,208 CRAIGMONT,Domestic Shorthair
113,30.277175,-97.661691,6500 TRACOR LANE,Norfolk Terrier
114,30.138837,-97.583917,8102 LINDEN ROAD78617,Domestic Shorthair
115,30.30723,-97.686715,DUQUESNE DRIVE AUSTIN 78723,Pit Bull
116,30.268091,-97.745444,504 LAVACA ST,Domestic Shorthair
117,30.220589,-97.744757,1722 WOODWARD,Domestic Shorthair
118,,,12012 CROW LANE,Domestic Shorthair
119,30.264271,-97.71608,AUSTIN 78702,Labrador Retriever/Border Collie
120,,,19305 NATHAN SCOTT WAY MANOR78653,German Shepherd
121,30.17531,-97.613656,13204 DEARBONNE DRIVE78617,Domestic Medium Hair
122,,,19305 NATHAN SCOTT WAY MANOR78653,German Shepherd
123,,,SOUTH WEST CONGRESS AVENUE,Maltese/Miniature Poodle
124,,,12600 VIDA,Chihuahua Longhair/Dachshund
125,30.309878,-97.534859,18121 BUSBY DRIVE MANOR78653,German Shepherd
126,30.274245,-97.70413,1178 RIDGEWAY DRIVE,Domestic Shorthair
127,30.274245,-97.70413,1178 RIDGEWAY DRIVE,Domestic Shorthair
128,30.17531,-97.613656,13204 DEARBONNE DRIVE78617,Domestic Medium Hair
129,,,WILLIAM CANNON,German Shepherd
130,,,2920 FM78617,Labrador Retriever Mix
131,30.268929,-97.760472,1156 W CESAR CHAVEZ ST,Jack Russell Terrier Mix
132,30.379889,-97.705741,10315 STUBBLE QUAIL DRIVE,Domestic Shorthair
133,30.138837,-97.583917,8102 LINDEN ROAD78617,Domestic Shorthair
134,30.379889,-97.705741,10315 STUBBLE QUAIL DRIVE,Domestic Shorthair
135,30.369989,-97.708915,9418 HUNTERS TRACE,Siberian Husky
136,30.370488,-97.697201,921 FIELDWOOD DR,Dachshund
137,30.449905,-97.613157,KILLINGS WORTH LN 78660,Boxer Mix
138,30.42087,-97.640255,1124 DARJEELING DRIVE78660,Pit Bull
139,30.356697,-97.69114,9024 CAPITAL DRIVE,German Shepherd Mix
140,30.256489,-97.578086,15114 SABAL PALM ROAD,Labrador Retriever
141,30.210165,-97.852888,4704 SALOMA DRIVE,Chow Chow
142,30.451312,-97.782396,9219 ANDERSON MILL ROAD,Domestic Shorthair
143,30.449905,-97.613157,KILLINGS WORTH LANE 78660,Boxer Mix
144,30.200075,-97.864634,5011 WEST SLAUGHTER LANE,Domestic Shorthair
145,30.274245,-97.70413,1178 RIDGEWAY DRIVE,Domestic Shorthair
